Date,open,high,low,close
5/22/2024,765.2,767,749.6,751.9
5/23/2024,751.8,755.8,749.7,752.8
5/24/2024,748,757.8,746.7,750
5/27/2024,750.3,756.2,748.5,756.2
5/28/2024,756.4,758.7,743.3,745.4
5/29/2024,742.8,744.1,724.2,724.2
5/30/2024,724.1,734.8,723.7,734.4
5/31/2024,734.2,738.8,731.7,734.9
6/3/2024,742.5,745,734.9,738
6/4/2024,740,744.5,735,735
6/5/2024,741.7,755,735.3,752.6
6/6/2024,758.1,767.4,756.5,762.7
6/7/2024,766.2,767.6,753.3,762.5
6/10/2024,750.6,753.1,738.1,746.3
6/11/2024,749.8,751.1,731.2,736.6
6/12/2024,737.4,743.8,732.2,735.4
6/13/2024,735.9,740.4,728,731.5
6/14/2024,726,729.7,707.6,711.4
6/17/2024,713.8,717.4,701,717.4
6/18/2024,723.7,726.7,707.9,710.1
6/19/2024,707,711.4,703.3,707
6/20/2024,707.7,715.8,706.2,713.6
6/21/2024,712.7,719.5,710.4,717.3
6/24/2024,718,730.2,716.7,726.5
6/25/2024,722.1,737.8,721.1,736.8
6/26/2024,738.6,741.8,720.3,727
6/27/2024,726.6,735.6,714.6,715.5
6/28/2024,714.4,717.8,709.4,713.6
7/1/2024,730.2,732.4,711.4,712
7/2/2024,711.9,714.7,703.1,709.6
7/3/2024,714,725.6,712.4,714.8
7/4/2024,719.8,722.3,717.4,719.8
7/5/2024,723.9,726,712.6,716.4
7/8/2024,711,719.3,695.7,695.7
7/9/2024,697,698.3,685.6,686.9
